Date,Open,High,Low,Close,Volume,Symbol,ma_7,ma_30,pct_change
2025-11-14,271.05,275.96,269.6,272.41,4.7431332E7,AAPL,272.7185799734933,271.82066752115884,0.0
2025-11-14,271.05,275.96,269.6,272.41,4.7431332E7,AAPL,272.6414358956473,271.9086680094401,0.0
2025-11-14,271.05,275.96,269.6,272.41,4.7431332E7,AAPL,272.56429181780135,271.9966684977214,0.0
2025-11-17,268.815,270.49,265.73,267.46,4.501826E7,AAPL,271.7800031389509,271.96300150553384,-1.82
2025-11-17,268.815,270.49,265.73,267.46,4.501826E7,AAPL,270.99571446010043,271.92933451334636,0.0
2025-11-17,268.815,270.49,265.73,267.46,4.501826E7,AAPL,270.28856985909596,271.8956675211588,0.0
2025-11-17,268.815,270.49,265.73,267.46,4.501826E7,AAPL,269.58142525809154,271.86200052897135,0.0
2025-11-17,268.815,270.49,265.73,267.46,4.501826E7,AAPL,268.87428065708707,271.8283335367839,0.0
2025-11-18,269.99,270.71,265.32,267.44,4.567728E7,AAPL,268.1642804827009,271.7620005289713,-0.01
2025-11-18,269.99,270.71,265.32,267.44,4.567728E7,AAPL,267.4542803083147,271.69566752115884,0.0
2025-11-18,269.99,270.71,265.32,267.44,4.567728E7,AAPL,267.451424734933,271.62933451334635,0.0
2025-11-18,269.99,270.71,265.32,267.44,4.567728E7,AAPL,267.44856916155135,271.56300150553386,0.0
2025-11-18,269.99,270.71,265.32,267.44,4.567728E7,AAPL,267.44571358816967,271.4966684977214,0.0
2025-11-19,265.525,272.21,265.5,268.56,4.0424492E7,AAPL,267.6028573172433,271.27366841634114,0.42
2025-11-19,265.525,272.21,265.5,268.56,4.0424492E7,AAPL,267.760001046317,271.05066833496096,0.0
2025-11-19,265.525,272.21,265.5,268.56,4.0424492E7,AAPL,267.9200003487723,270.8276682535807,0.0
2025-11-19,265.525,272.21,265.5,268.56,4.0424492E7,AAPL,268.0799996512277,270.60466817220055,0.0
2025-11-19,265.525,272.21,265.5,268.56,4.0424492E7,AAPL,268.239998953683,270.3816680908203,0.0
2025-11-20,270.83,275.43,265.92,266.25,4.5823568E7,AAPL,268.0699986049107,270.14100138346356,-0.86
2025-11-20,270.83,275.43,265.92,266.25,4.5823568E7,AAPL,267.8999982561384,269.90033467610675,0.0
2025-11-20,270.83,275.43,265.92,266.25,4.5823568E7,AAPL,267.5699986049107,269.65966796875,0.0
2025-11-20,270.83,275.43,265.92,266.25,4.5823568E7,AAPL,267.239998953683,269.41900126139325,0.0
2025-11-20,270.83,275.43,265.92,266.25,4.5823568E7,AAPL,266.90999930245533,269.17833455403644,0.0
2025-11-21,265.95,273.33,265.67,271.49,5.9030832E7,AAPL,267.3285696847098,269.1296671549479,1.97
2025-11-21,265.95,273.33,265.67,271.49,5.9030832E7,AAPL,267.7471400669643,269.08099975585935,0.0
2025-11-21,265.95,273.33,265.67,271.49,5.9030832E7,AAPL,268.49571010044644,269.03233235677084,0.0
2025-11-21,265.95,273.33,265.67,271.49,5.9030832E7,AAPL,269.24428013392856,268.98366495768227,0.0
2025-11-21,265.95,273.33,265.67,271.49,5.9030832E7,AAPL,269.9928501674107,268.93499755859375,0.0
2025-11-24,270.9,277.0,270.9,275.92,6.5585796E7,AAPL,271.37428065708707,269.0519978841146,1.63
2025-11-24,270.9,277.0,270.9,275.92,6.5585796E7,AAPL,272.7557111467634,269.1689982096354,0.0
2025-11-24,270.9,277.0,270.9,275.92,6.5585796E7,AAPL,273.3885716029576,269.28599853515624,0.0
